seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max,med_low,med_high,big_low,big_high,med_dc_hl_pip,big_dc_hl_pip
16,0.92338,0.92343,0.92285,0.92285,150,2021-10-17 21:32:53,0:01:07,5.800000000000249,5.3000000000003045,0.0,0.0,0.92285,0.92359,0.92285,0.92411,7.400000000000739,12.600000000000389
17,0.92285,0.92347,0.92285,0.92285,150,2021-10-17 21:34:00,0:01:27,6.200000000000649,0.0,0.0,0.0,0.92285,0.92359,0.92285,0.92411,7.400000000000739,12.600000000000389
18,0.92343,0.92366,0.92282,0.92336,150,2021-10-17 21:35:29,0:02:36,8.40000000000063,0.700000000000145,0.0,0.0,0.92282,0.92366,0.92282,0.92411,8.40000000000063,12.900000000000134
19,0.92335,0.92342,0.92289,0.92329,150,2021-10-17 21:38:06,0:04:18,5.3000000000003045,0.5999999999994898,0.0,0.0,0.92282,0.92366,0.92282,0.92411,8.40000000000063,12.900000000000134
20,0.9233,0.92361,0.92288,0.92312,150,2021-10-17 21:42:31,0:07:43,7.300000000000084,1.7999999999995797,0.0,0.0,0.92282,0.92366,0.92282,0.92411,8.40000000000063,12.900000000000134
21,0.9231,0.92348,0.92295,0.92338,150,2021-10-17 21:50:14,0:08:37,5.299999999999194,2.7999999999994696,0.0,0.0,0.92282,0.92366,0.92282,0.92411,8.40000000000063,12.900000000000134
22,0.9234,0.9234,0.92255,0.92314,150,2021-10-17 21:58:51,0:04:23,8.500000000000174,2.60000000000038,0.0,0.0,0.92255,0.92366,0.92255,0.92411,11.100000000000554,15.600000000000058
23,0.92314,0.92335,0.92314,0.92329,150,2021-10-17 22:03:25,0:05:50,2.100000000000435,1.500000000000945,0.0,0.0,0.92255,0.92366,0.92255,0.92411,11.100000000000554,15.600000000000058
24,0.92329,0.92332,0.92314,0.92314,150,2021-10-17 22:09:18,0:02:53,1.80000000000069,1.500000000000945,0.0,0.0,0.92255,0.92366,0.92255,0.92411,11.100000000000554,15.600000000000058
25,0.92315,0.92331,0.92311,0.92329,150,2021-10-17 22:12:13,0:04:03,1.9999999999997797,1.40000000000029,0.0,0.0,0.92255,0.92366,0.92255,0.92411,11.100000000000554,15.600000000000058
26,0.92325,0.92331,0.92309,0.92313,150,2021-10-17 22:16:16,0:05:44,2.1999999999999797,1.2000000000000899,0.0,0.0,0.92255,0.92366,0.92255,0.92411,11.100000000000554,15.600000000000058
27,0.92313,0.92314,0.92296,0.92297,150,2021-10-17 22:22:02,0:03:39,1.7999999999995797,1.60000000000049,0.0,0.0,0.92255,0.92366,0.92255,0.92411,11.100000000000554,15.600000000000058
28,0.92299,0.92315,0.92295,0.92314,150,2021-10-17 22:25:48,0:03:54,1.9999999999997797,1.4999999999998348,0.0,0.0,0.92255,0.92366,0.92255,0.92411,11.100000000000554,15.600000000000058
29,0.92314,0.92331,0.92311,0.92329,150,2021-10-17 22:29:46,0:04:24,1.9999999999997797,1.500000000000945,0.0,0.0,0.92255,0.92366,0.92255,0.92411,11.100000000000554,15.600000000000058
30,0.92329,0.9233,0.92319,0.92326,150,2021-10-17 22:34:10,0:05:45,1.100000000000545,0.30000000000085514,0.0,0.0,0.92255,0.92361,0.92255,0.92411,10.600000000000609,15.600000000000058
31,0.92326,0.92334,0.92322,0.92333,150,2021-10-17 22:39:55,0:05:33,1.2000000000000899,0.700000000000145,0.0,0.0,0.92255,0.92361,0.92255,0.92411,10.600000000000609,15.600000000000058
32,0.92332,0.92332,0.92313,0.92314,150,2021-10-17 22:45:28,0:04:39,1.9000000000002348,1.80000000000069,0.0,0.0,0.92255,0.92348,0.92255,0.92411,9.299999999999864,15.600000000000058
33,0.92315,0.92319,0.92308,0.92319,150,2021-10-17 22:50:07,0:09:16,1.0999999999994348,0.3999999999992898,0.0,0.0,0.92255,0.9234,0.92255,0.92411,8.500000000000174,15.600000000000058
34,0.92319,0.92349,0.92313,0.92332,150,2021-10-17 22:59:23,0:06:11,3.6000000000002697,1.300000000000745,0.0,0.0,0.92295,0.92349,0.92255,0.92411,5.399999999999849,15.600000000000058
35,0.92333,0.92333,0.92298,0.92308,150,2021-10-17 23:05:38,0:07:51,3.4999999999996145,2.4999999999997247,0.0,0.0,0.92295,0.92349,0.92255,0.92411,5.399999999999849,15.600000000000058
36,0.92309,0.92321,0.92297,0.92316,150,2021-10-17 23:13:37,0:10:38,2.4000000000001798,0.700000000000145,0.0,0.0,0.92295,0.92349,0.92255,0.92411,5.399999999999849,15.600000000000058
37,0.92317,0.92317,0.92297,0.92297,150,2021-10-17 23:24:15,0:08:09,2.00000000000089,2.00000000000089,0.0,0.0,0.92295,0.92349,0.92255,0.92366,5.399999999999849,11.100000000000554
38,0.92299,0.92326,0.92288,0.92325,150,2021-10-17 23:33:52,0:10:55,3.7999999999993594,2.60000000000038,0.0,0.0,0.92288,0.92349,0.92255,0.92366,6.099999999999994,11.100000000000554
39,0.92325,0.92334,0.92319,0.92334,150,2021-10-17 23:44:51,0:12:31,1.500000000000945,0.900000000000345,0.0,0.0,0.92288,0.92349,0.92255,0.92366,6.099999999999994,11.100000000000554
40,0.92334,0.92372,0.92334,0.9235,150,2021-10-17 23:57:23,0:04:18,3.7999999999993594,1.5999999999993797,0.0,0.0,0.92288,0.92372,0.92255,0.92372,8.399999999999519,11.700000000000044
41,0.9235,0.92369,0.92341,0.92368,150,2021-10-18 00:01:43,0:04:35,2.80000000000058,1.7999999999995797,0.0,0.0,0.92288,0.92372,0.92255,0.92372,8.399999999999519,11.700000000000044
42,0.92367,0.92382,0.92356,0.92374,150,2021-10-18 00:06:19,0:05:58,2.5999999999992696,0.700000000000145,0.0,0.0,0.92288,0.92382,0.92255,0.92382,9.399999999999409,12.699999999999934
43,0.92376,0.92387,0.92368,0.92382,150,2021-10-18 00:12:19,0:04:39,1.9000000000002348,0.5999999999994898,0.0,0.0,0.92288,0.92387,0.92255,0.92387,9.899999999999354,13.199999999999878
44,0.92383,0.92401,0.92376,0.92376,150,2021-10-18 00:16:59,0:06:09,2.4999999999997247,0.700000000000145,0.0,0.0,0.92288,0.92401,0.92255,0.92401,11.299999999999644,14.600000000000168
45,0.9238,0.92406,0.92372,0.92405,150,2021-10-18 00:23:09,0:07:00,3.4000000000000696,2.500000000000835,0.0,0.0,0.92288,0.92406,0.92255,0.92406,11.799999999999589,15.100000000000113
46,0.92403,0.92403,0.92382,0.92382,150,2021-10-18 00:30:10,0:06:12,2.100000000000435,2.100000000000435,0.0,0.0,0.92288,0.92406,0.92255,0.92406,11.799999999999589,15.100000000000113
47,0.92382,0.9241,0.92382,0.92391,150,2021-10-18 00:36:22,0:07:29,2.80000000000058,0.900000000000345,0.0,0.0,0.92288,0.9241,0.92255,0.9241,12.199999999999989,15.500000000000513
