won,b_plus,b_minus,b_diff,b_os_stoch_main,b_ma,b_mom1,b_mom2,b_mom1_count,b_mom1_sum,m_plus,m_minus,m_diff,m_os_stoch_main,m_ma,m_mom1,m_mom2,m_mom1_count,m_mom1_sum
0,88.5555555555588,-0.0,88.5555555555588,20.290873183808166,78.3194444444477,78.3194444444477,78.3194444444477,4,193.90277777778655,86.20015767547149,-7.82632823045204,78.37382944501945,67.46311689694954,85.11472497925133,-21.301200946667265,-127.71712687258587,-2,-32.12335821095455
1,68.46081414623043,-52.385655854001236,16.075158292229197,43.92583480071738,18.67736971385648,24.81947638718985,33.51357135949511,3,58.81375375762474,47.54193455417731,-41.32007219350761,6.221862360669697,27.61984217049148,7.540834442462089,-5.315816571088224,-15.025440671776753,-1,-5.315816571088224
1,74.98958868461956,-44.1843660563262,30.805222628293365,62.28037113001624,26.12137819150064,7.444008477644161,-17.37546790954569,2,7.601961096868312,50.29531104766911,-36.594633746842135,13.700677300826975,46.197118801944654,18.76376298689074,12.842995411944507,-0.3653995223521882,8,117.64455604819658
0,81.30932746629367,-43.24587029668395,38.06345716960972,70.7353425423825,37.39839810499648,16.14368658016263,13.566344769185257,7,78.24123345413933,54.81253463317173,-32.43561538986079,22.376919243310937,76.88346547099476,25.45596410240799,5.697646211418192,-13.133870486443723,7,102.35188802696126
0,66.10749468666958,-52.31012387973366,13.797370806935923,23.170092252244167,21.198041397762104,-11.486361144136815,-34.30129184979139,-1,-11.486361144136815,34.32050865002165,-41.71483525197958,-7.394326601957928,12.056351489907353,-2.612662623033363,-12.773465975647294,5.6007396332438155,-8,-107.12537839458858
1,79.20180386764342,-35.36436206126686,43.83744180637656,87.1419168869645,42.516187812092305,34.37117203950204,33.314148492134656,6,156.45121813717296,47.54371905236439,-14.514157733873665,33.02956131849072,45.387606347471035,35.89703191521149,-2.7256097469499636,-7.551226526411419,-1,-2.7256097469499636
1,81.17989526032729,-30.288232640312724,50.89166262001456,0.0,53.89411324527467,11.877925433181908,-21.99324660632059,11,252.58455417191476,40.298821846855226,-14.675921179228501,25.622900667626723,33.38245947603178,29.49417329594737,-2.680718963322505,0.5182561768486735,-6,-13.25315759534401
0,77.39300456929904,-24.04612632316569,53.34687824613334,36.103393289948826,55.91990828193358,-0.9766555886011972,-16.678285641327925,-1,-0.9766555886011972,38.70224617144235,-10.788840373888151,27.913405797554198,54.658372440836445,29.90300399318133,-7.785152787525433,-16.67913627228495,-3,-16.436242430686825
0,72.23347093134576,-33.23860679051059,38.994864140835176,0.0,45.940719544717574,-7.253393700556977,-18.431319133738768,-2,-11.263382622491783,29.368602250313668,-20.842707986238583,8.525894264075085,10.703862160301869,13.356979259127463,-18.535622929680997,-11.944924006347208,-7,-74.06169814633841
0,67.41790620258938,-39.298255226698316,28.119650975891062,18.84192620189842,34.813518593637774,-24.246313918339325,-34.90724634796047,-3,-39.943029874164196,25.931094688847168,-24.60647626100836,1.3246184278388071,11.721320831470837,2.381110332591781,-18.71727432140083,-5.955182564148423,-10,-140.59711419511493
0,78.42858427290092,-67.05881005668171,11.369774216219213,17.25292704815855,17.613505393011863,-8.167098841245966,-1.734184481865931,-1,-8.167098841245966,42.70231420940063,-46.3675387469017,-3.665224537501068,33.39796695316124,-1.0244406702744557,-8.444565076619057,-20.840769208515468,-2,-8.767874741197648
1,47.708800331531734,-55.93676627910459,-8.227965947572855,49.07583047949564,-11.57729432035234,23.56639111173973,12.42040129134649,9,99.53216971776229,32.739613610826,-32.14746773139612,0.5921458794298786,48.93829457647085,3.541605419315177,2.6084128823513897,-24.483077965232866,8,153.68599658023206
1,61.00579938441245,-43.76240387939811,17.24339550501434,86.54316586022463,14.362703208647142,25.81551225546873,-1.7315953425336623,15,238.79633994175092,36.08315220112514,-23.158623547681366,12.924528653443772,30.22487639283191,13.578456717932314,-2.320331040273558,-10.998591673014305,-1,-2.320331040273558
1,50.410676678817154,-29.014783660332593,21.39589301848456,46.73518419647359,21.58809741072435,9.00378282544808,0.9084234522163168,23,315.51060937090665,32.62734843752299,-11.30939908776094,21.31794934976205,37.02856137717187,22.54015837301145,-4.48341690145546,-11.593202238805908,-4,-12.363026270044895
1,56.030041314287956,-27.07510043300072,28.954940881287236,0.0,29.145758719859955,11.29164843107701,7.800241350941208,25,347.36975576683426,35.437947056542576,-22.79086132891254,12.647085727630035,26.34753844856099,17.513137437333583,-4.560354269010865,0.3897292991115968,-2,-5.94353251823458
0,78.72635909769899,-31.995130577046737,46.73122852065225,0.0,52.43417324103936,24.055081187846135,13.530099423435853,30,462.3594806211903,53.57069603160879,-35.59751561875815,17.97318041285064,30.731112499516406,27.772244224968656,-12.11463192711059,-19.5099906702138,-1,-12.11463192711059
0,73.47793515785239,-41.61767742746566,31.860257730386728,0.0,41.480548819046604,4.227585936738471,-12.388944430874844,31,465.253733224596,43.55495997355097,-42.97241961220909,0.5825403613418842,9.105514814671531,6.198645861682818,-37.115562627293485,-56.949646844317726,-4,-106.47924407500419
0,66.21258358364113,-50.38390954108909,15.828674042552045,56.355353360442855,14.422160228037,18.201055696410798,15.317320021798078,6,86.50841574338222,48.6345721352215,-30.966678433803896,17.6678937014176,25.280600616032917,19.749645795636475,8.936621507946965,10.721096901527316,5,39.387709393214905
0,73.62672332660523,-45.30115135377715,28.32557197282808,50.647256236347324,28.946119776446796,29.497172454602044,47.29283382711695,4,86.01808580434727,45.43932908444188,-26.424348900357312,19.014980184084568,39.28593211214583,24.24123715198563,1.3408600422032393,-15.719371457498866,13,167.42200498632127
0,57.21565438330237,-41.40802241127135,15.807631972031025,55.15404093690699,12.929121807351242,23.613398559744105,44.64386049535572,3,51.410189686938054,26.801751077446113,-22.31524456643832,4.486506511007793,61.395113989182256,5.177720769653527,3.758852098837581,-0.6328056949445688,16,123.43655638450113
0,53.40127742441555,-50.394154250519755,3.007123173895792,36.08849556903242,7.518122490623548,15.713299072462558,33.822996877936504,4,66.22348875940067,21.790816283411,-30.982745014412387,-9.191928731001386,25.243903829744013,-6.701891721353459,-13.347076230443886,-16.77668344134818,-3,-27.34073121280787
1,52.13830103016717,-35.27705791350235,16.861243116664824,85.27557430434707,16.971267514401408,16.12958084723283,3.4735673660531567,7,142.14328907342696,37.06836640515508,-24.078700739485612,12.98966566566947,62.55314142094108,14.96813209056777,-7.336170636866612,-7.035712317153617,-6,-22.888144324118297
1,71.33712049042748,-30.01131335970799,41.32580713071949,0.0,43.56410047799116,24.887760688499696,18.624523666208397,18,270.237869068627,43.320010571255494,-13.38578847541522,29.934222095840276,25.814299622236625,31.53151124342104,-2.8669821460170475,-32.49187565829817,-1,-2.8669821460170475
0,113.10485237466459,-18.750612045433524,94.35424032923106,10.007581933336192,94.41293101038582,58.216145166718675,59.55473796802188,5,204.0313917225291,74.68837294208812,-25.638480972037204,49.04989197005092,32.50284881946102,54.82544661884237,-1.266132191788337,-37.55731560651486,-1,-1.266132191788337
1,89.5831838882382,-84.8523814131879,4.730802475050297,24.757570048269773,-0.5265359734758439,24.43798457799395,26.02980463142884,5,69.35231919878925,44.980461170960425,-44.02655176771674,0.953909403243685,43.30477943804445,4.810470329341744,3.301574188002918,-5.664992361250315,8,78.81148241040394
1,102.3614053733759,-63.390839888328976,38.970565485046926,84.09173794527793,29.76508470227966,31.251755978438467,9.119490532842985,11,201.49353360186166,54.59649978552273,-30.177112772520665,24.419387013002066,40.444488873481994,24.906843265662665,11.509680631923352,-0.5465022354308218,11,124.80475915124505
1,74.41355517365365,-28.58597720030614,45.82757797334751,24.737772154382114,45.070166696343435,7.328415548771019,4.742049379709961,4,24.240290188685208,33.71290768637614,-24.048339625374766,9.664568061001376,38.166456536338465,14.796399438314259,-3.6169549783543946,-11.178582279053904,-1,-3.6169549783543946
0,76.73530554558111,-25.90308856010032,50.8322169854808,9.102216974277574,57.26782386623043,10.846724481083541,6.4532396671257,11,106.34145693778694,41.385036024603785,-33.664770702344306,7.720265322259479,46.384301422251305,15.046900633421775,-10.196092819831112,-20.64142846411447,-3,-10.71512998759028
0,57.9177302395965,-78.39097123540367,-20.473240995807167,50.78204653277059,-27.971449328449637,50.412538933214705,24.71570020354244,7,281.6943739229712,42.17336822557467,-29.69051964098057,12.482848584594102,47.49015468339228,10.849832398995765,8.262548106900361,-11.993043101035411,23,440.6732612915398
1,56.01898417866119,-61.3702656805621,-5.351281501900907,71.11944549739512,-13.028439026064754,26.51832261836332,35.702238983906106,3,51.27210533617346,37.033198486223185,-32.090209032175046,4.9429894540481385,48.727967585698124,7.036335483205505,6.191472196526361,-9.86013736801098,10,108.14904105135659
1,69.42639780333164,-60.229632304433004,9.196765498898635,42.53294691343848,10.851788168888701,38.38660823159422,27.617082296244376,6,183.23694553182983,49.47061852530714,-50.58921505517097,-1.1185965298638294,33.89109832060849,9.808027075831465,4.971691592626232,0.9802193961001446,15,172.5059406597918
0,74.80240325554493,-46.2930326007124,28.50937065483253,11.960591540086813,25.372636015807487,17.08751451358539,-18.73242705134222,11,269.19321295096,43.563173884493686,-32.68092492067417,10.882248963819514,20.527822574736494,12.078823714865642,9.39735550981006,1.9537239135941808,7,85.0455685832133
1,72.78687040022302,-68.74001258575426,4.0468578144687655,47.344273527219364,1.9231864678880632,17.34505583333422,43.462856867303586,1,17.34505583333422,42.185303644877024,-36.38343427574952,5.801869369127502,62.127608580719595,5.919736152917071,-4.842219175312831,-28.686911774715302,-2,-6.933337107734269
0,79.50149229494254,-42.40988000610711,37.09161228883543,61.79725655412226,34.56220831506852,16.59340235997393,-12.13766601974999,8,195.7658419220281,46.11622698099124,-23.73610177088651,22.380125210104733,46.92722805323176,25.997646937409975,0.4675104469613771,-2.5062843606931473,7,27.9697406866707
1,70.28139280861376,-56.555888005700496,13.725504802913264,10.425429430146794,20.493856558990796,-1.6491505434314355,-28.529046490169772,-1,-1.6491505434314355,40.17235772566348,-38.21011532041672,1.9622424052467622,20.856545801436344,9.952562152666827,-17.461271891309302,-22.245630298110935,-2,-26.18901632111942
1,69.685124402171,-51.79564762570704,17.889476776463958,43.28486009366862,19.155264759770567,-9.669330756222415,-36.57073980432733,-3,-18.750295957670765,40.92234322994576,-27.795210038094186,13.127133191851573,37.78866386803749,14.121835693574294,0.0868767169352207,15.667086405011368,3,14.077308118839907
1,87.93188195122127,-51.542222887191514,36.38965906402976,6.787928015672882,35.68233207737685,25.15183275736383,46.65413777865241,3,44.93541962475054,50.11267954544258,-34.29181735767156,15.82086218777102,29.73767208647289,20.25624453586072,-6.478615883466404,-25.063407405247727,-1,-6.478615883466404
0,85.21752429801863,-39.27771543584135,45.93980886217728,70.53348021117252,41.29585336283563,34.468733760737436,72.77723838341194,2,56.374387144547015,53.4766082702541,-30.926292326229355,22.550315944024742,71.29667981785857,18.01965030894264,14.956317433438064,-2.602367101759503,11,162.4982381475907
0,119.53671279373555,-55.20871436863677,64.32799842509877,6.911296398719983,62.24227807516189,32.969107258061314,13.399893780115306,8,135.4342694222836,73.53416862770315,-60.9670759469349,12.567092680768255,51.64276935651439,17.888137059145738,25.013765090304005,0.42624538030787207,7,197.82146805434178
0,97.46599312474386,-91.05415109110561,6.411842033638251,45.86225621607735,8.335841724103386,1.3645997985767124,51.70230261487854,1,1.3645997985767124,54.102088541887916,-51.17465816223772,2.927430379650197,75.7943935844156,6.891201786920943,-3.6283493225324346,-34.83853995332747,-1,-3.6283493225324346
0,65.31675745693923,-74.51827624477106,-9.20151878783183,0.10049641806510289,-4.408967255920177,-5.748404247224082,-16.266016966461613,-5,-38.26991919878861,29.784870752496918,-40.815988307142845,-11.031117554645927,10.954155257742501,-5.385671386787306,-5.585681486350124,-10.447032869506769,-2,-7.076015210353994
0,50.95418347480838,-64.57703653605297,-13.62285306124459,51.884548109290826,-15.608148211735791,21.19273258609312,36.63389614288557,3,33.02677451292204,38.80937701192651,-39.018927014089336,-0.20955000216282826,48.781629878265754,1.996470506636368,-4.224466257767289,-31.951521075060295,-1,-4.224466257767289
0,72.30789354035055,-70.34253607531468,1.965357465035865,87.97791386563487,-0.46735268225782267,37.97648539544106,15.381600747912323,13,320.8022135002994,42.3406383470049,-18.893605573347333,23.447032773657565,24.891197283285138,24.950589575099393,-1.9712823261623171,-22.652903755755304,-2,-2.3030401754493397
1,58.788995518436124,-73.56256365155555,-14.773568133119426,85.77167143359944,-9.401252118165097,-0.7096720322386609,-44.10234987565464,-1,-0.7096720322386609,30.530689832855717,-29.988443946884008,0.5422458859717096,13.94202535703484,5.859663118433091,-16.40140431022904,-12.208325362349953,-11,-66.31547961770852
0,66.28457772597187,-58.58740185605894,7.6971758699129325,0.0,6.777984682414809,22.439609203619845,35.20117089527337,3,40.69920376341132,40.41320214068683,-31.775006347274637,8.63819579341219,26.107030326987587,14.77142513562872,4.216388447714204,-4.20243668842747,9,97.2233044065586
0,72.87018615927758,-43.04618207234465,29.82400408693293,72.90141427589197,27.99994560764356,17.095788512414117,11.43628276626603,4,43.1950000539115,35.61493694358527,-26.826498748027127,8.788438195558143,60.457563450202805,10.249628823201652,3.6845017793117103,-15.024314766605553,9,118.62052252119906
1,68.01217374865908,-52.04310326752301,15.969070481136072,29.361696570066055,21.984508044389816,12.434746149980594,15.568214224959828,5,55.6297462038921,31.024567293078725,-35.48886113161574,-4.464293838537017,32.71966024195582,2.080895865495366,-11.188184814745254,-30.845083556964042,-2,-11.468708524791026
0,73.62903352651655,-43.40856174057857,30.22047178593798,66.41444582688047,29.978372543128025,12.193864498738176,3.959118348757549,3,14.204917607333087,44.160594126943906,-23.21111333304561,20.949480793898296,48.415400264152694,23.490413771884437,-2.69127145863067,-21.7326482565927,-1,-2.69127145863067
1,75.90351364976485,-44.02760637549623,31.87590727426862,0.0,30.561212411857433,12.897773812267168,14.274676519101234,5,35.924722055655174,44.19252966893486,-30.595376148476618,13.597153520458242,34.487680519312974,17.002562743089605,-0.9524018466720321,8.574048664131439,-7,-55.34151809469262
0,79.48949630749583,-46.925703161102405,32.56379314639342,0.0,34.21661631994931,10.8887372414247,5.224296762490354,3,20.59191106775242,54.822140003854805,-36.06405085122972,18.758089152625082,32.72282220548467,23.61479835223374,-2.6278280224724675,-10.68079636924551,-1,-2.6278280224724675
0,41.9530575074347,-52.675602983039425,-10.722545475604726,58.46683992603273,-13.48956572237614,24.24918628723411,10.6424076033964,8,150.1078017344782,30.317409315756045,-33.34985744450486,-3.0324481287488183,45.68402547175193,0.44350017388644947,-6.6212886436888985,-20.449468132342233,-1,-6.6212886436888985
1,55.873267259655876,-74.69405353192391,-18.820786272268037,28.979702515764927,-22.825341408410615,57.956262104849436,24.40375810930778,8,349.7230460285772,59.27615994344716,-44.97621479948626,14.299945143960905,17.109757627366815,20.200900052510192,-5.551389710344274,-47.04353038347634,-1,-5.551389710344274
1,87.9953319586663,-73.01331838763511,14.982013571031189,86.49588761251668,12.069683552480011,45.92149134987031,-16.01721695049502,11,512.9299093513085,65.40315514022842,-33.9831222503573,31.420032889871123,43.008000025583016,34.92799759449079,-5.852987881074185,-30.79973997079545,-1,-5.852987881074185
1,111.13667512078808,-29.203630329556525,81.93304479123157,42.45555418998711,84.03858202887719,37.66575413096476,5.690047237303226,13,376.88486927535865,55.915805905122674,-13.802827122519687,42.11297878260299,57.009560546383334,45.717800627085566,-16.28419544934667,-31.922935623655277,-3,-31.816614333093256
0,60.985183183296,-30.849340070652765,30.135843112643236,28.54145435460845,35.36764068970315,6.784837941578761,1.1245616030025118,10,86.71712875082838,35.972369136541964,-30.555265876423714,5.41710326011825,17.45631735156995,8.911759323233003,-10.870825238144967,-14.611476213135873,-1,-10.870825238144967
1,94.21878212146342,-65.27385757296321,28.94492454850021,45.20658824927061,29.281385067456135,55.299635901100324,91.80144468434699,3,151.22406811154906,74.02755390543238,-50.10369478580222,23.923859119630166,27.972399674423762,27.470390209167018,-17.94494828065179,-50.0750394827307,-1,-17.94494828065179
1,124.58148954260098,-42.7671868083986,81.81430273420239,41.985207158840716,80.83043134930318,50.14754217427446,49.0824985856578,12,420.39786129746847,81.95500096557853,-31.782716607125945,50.172284358452586,25.049158306462825,48.206238974578326,-14.211891746609687,-49.57612283164723,-3,-23.220656723223414
