seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max,med_low,med_high,big_low,big_high,med_dc_hl_pip,big_dc_hl_pip
24,1770.57,1771.16,1770.46,1770.84,300,2021-10-18 00:44:34,0:06:31,7000.000000000455,2699.999999999818,0.0,0.0,1768.96,1771.74,1764.87,1772.04,27799.999999999727,71700.00000000073
25,1770.84,1771.42,1770.35,1771.07,300,2021-10-18 00:51:05,0:04:12,10700.000000001637,2300.000000000182,0.0,0.0,1768.96,1771.65,1764.87,1772.04,26900.000000000546,71700.00000000073
26,1771.06,1771.42,1770.6,1770.71,300,2021-10-18 00:55:17,0:04:59,8200.000000001637,3499.9999999990905,0.0,0.0,1768.96,1771.42,1764.87,1772.04,24600.000000000364,71700.00000000073
27,1770.7,1771.5,1770.49,1771.21,300,2021-10-18 01:00:16,0:02:17,10099.999999999909,5099.999999999909,0.0,0.0,1768.96,1771.5,1764.87,1772.04,25399.999999999636,71700.00000000073
28,1771.29,1772.11,1770.89,1771.69,300,2021-10-18 01:02:33,0:02:09,12199.999999998,4000.0000000009095,0.0,0.0,1769.06,1772.11,1764.87,1772.11,30499.999999999545,72400.00000000009
29,1771.69,1771.69,1769.73,1770.0,300,2021-10-18 01:04:42,0:02:08,19600.000000000364,16900.000000000546,0.0,0.0,1769.06,1772.11,1764.87,1772.11,30499.999999999545,72400.00000000009
30,1770.05,1771.73,1770.03,1771.05,300,2021-10-18 01:06:53,0:02:00,17000.000000000455,10000.0,0.0,0.0,1769.08,1772.11,1764.87,1772.11,30299.999999999727,72400.00000000009
31,1771.04,1771.4,1770.14,1770.48,300,2021-10-18 01:08:53,0:02:18,12599.999999999909,5599.999999999454,0.0,0.0,1769.27,1772.11,1764.87,1772.11,28399.99999999918,72400.00000000009
32,1770.5,1770.59,1769.97,1770.49,300,2021-10-18 01:11:12,0:03:02,6199.999999998909,99.99999999990905,0.0,0.0,1769.62,1772.11,1764.87,1772.11,24900.00000000009,72400.00000000009
33,1770.5,1770.59,1769.81,1770.02,300,2021-10-18 01:14:14,0:03:04,7799.999999999727,4800.000000000182,0.0,0.0,1769.73,1772.11,1764.87,1772.11,23799.999999998818,72400.00000000009
34,1770.02,1770.53,1769.55,1770.42,300,2021-10-18 01:17:19,0:03:22,9800.000000000182,4000.0000000009095,0.0,0.0,1769.55,1772.11,1764.87,1772.11,25599.999999999454,72400.00000000009
